日期,合作夥伴,節目名稱,當前排名(101代表未進百大)
2026-06-14,"美股夢想家","夢想家說股事",101
2026-06-14,"主播/主持人 朱楚文","科技領航家",101
2026-06-14,"Dr Selena","小資變有錢｜Dr.Selena生活理財王",101
2026-06-14,"郝旭烈/郝聲音","郝聲音",47
2026-06-14,"精算媽咪的家計簿｜珊迪兔","精算媽咪的家計簿",101
2026-06-14,"聲音表達講師 林依柔","說話人聲",101
2026-06-14,"張忘形","人類行為研究社",101
2026-06-14,"李柏鋒的擴大機","聽進理投",101
2026-06-14,"崔咪","一不小心太漂亮",101
2026-06-14,"哇賽心理學_蔡宇哲","哇賽心理學",30
2026-06-14,"Cynthia Huang黃馨儀","媽媽好神經病",101
2026-06-14,"蘇絢慧分享空間","蘇心時光",101
2026-06-14,"加班當爸媽．櫻桃可可CherryCoco","加班當爸媽｜櫻桃可可CherryCoco",101
2026-06-14,"林程揚｜Hank 大叔","能量黑客",101
2026-06-14,"美股航海王","航海王的富人學",101
2026-06-14,"宋家小館｜Becky","宋家小館",101
2026-06-14,"莫菲穿搭","【莫轉台】-試穿新人生",101
2026-06-14,"慢活夫妻 Dewi&George","慢活夫妻－專業美股投資與理財",101
2026-06-14,"創才","金融科技人才培育計劃-焦點主題趨勢講座",101
2026-06-14,"電扶梯走左邊","電扶梯走左邊 with Jacky (Left Side Escalator)",101
2026-06-14,"蕭老師別這樣","蕭老師別這樣",101
2026-06-14,"卡姊","我不是病人，我是卡姊！",101
2026-06-14,"Z研","慢慢長出來",101
2026-06-14,"ActPod艾帕科技","ActPod週記",101
